"description","Total lipid (fat)","Carbohydrate, by difference","Protein","Energy","cluster"
"Peaches, yellow, raw",0.27,10.1,0.91,42,"2"
"Peanut butter, smooth style, with salt",51.1,22.3,22.5,597,"3"
"Pears, raw, bartlett",0.16,15.1,0.38,57,"2"
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.16,15.1,0.38,57,"2"
"Pickles, cucumber, dill or kosher dill",0.43,1.99,0.48,12,"2"
"Pork, cured, bacon, cooked, restaurant",36.5,2.1,40.9,500,"3"
"Restaurant, Chinese, fried rice, without meat",3.19,32.5,3.84,174,"2"
"Restaurant, Chinese, sweet and sour pork",13.6,25.5,8.88,260,"2"
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",9.01,31.5,5.59,229,"2"
"Restaurant, Latino, tamale, pork",9.04,15.8,7.38,174,"2"
"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.48,8.05,1.41,45,"2"
"Sauce, salsa, ready-to-serve",0.19,6.74,1.44,29,"2"
"Sausage, Italian, pork, mild, cooked, pan-fried",26.2,2.15,18.2,322,"3"
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",28.7,3.37,13.3,328,"3"
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",28.1,2.63,19.3,346,"3"
"Sausage, turkey, breakfast links, mild, raw",10.4,0.93,16.7,169,"2"
"Seeds, sunflower seed kernels, dry roasted, with salt added",56.1,17.1,21,612,"3"
"Strawberries, raw",0.22,7.7971875,0.6403125,31,"2"
"Sugars, granulated",0.32,99.6,0,385,"1"
"Tomatoes, canned, red, ripe, diced",0.5,3.32,0.84,18,"2"
"Tomatoes, grape, raw",0.63,5.51,0.83,27,"2"
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",11.6,0,27.1,220,"3"
"Yogurt, Greek, plain, nonfat",0.37,3.64,10.3,61,"2"
"Yogurt, Greek, strawberry, nonfat",0.15,12.2,8.06,83,"2"
